"","X.1.","X.2.","X.3."
"1","c232_105xTNT","c232_105xTNT","c105-Gal4/+;;UAS-TNT/c232-Gal4_??"
"2","c232_105xwtb","c232_105xwtb","c105-Gal4/+;;+/c232-Gal4_??"
"3","control","control","Wtb"
"4","Control","Control","CS"
"5","CS_c380","CS_c380","c380-Gal4/+"
"6","CS_d42","CS_d42","d42Gal4/+"
"7","CS_d42-chG80","CS_d42-chG80","UAS-GFP;;d42Gal4,chaGal80/+"
"8","CS_d42GchaG","CS_d42GchaG","d42-Gal4, cha-Gal80/+"
"9","CS_elav","CS_elav","elav-Gal4/+"
"10","CS_G_c380cha","CS_G_c380cha","UAS-GFP,C380-GAL4/+;;cha-Gal80/+"
"11","CS_Gd42-chG80","CS_Gd42-chG80","UAS-GFP;;d42Gal4,chaGal80/+"
"12","CS_OK371","CS_OK371","OK371/+"
"13","CS_RNAi_Trip","CS_RNAi_Trip","UAS_PKC53eRNAi_Trip/+"
"14","CS_RNAi_vienna","CS_RNAi_vienna","UAS_PKC53eRNAi_vienna/+"
"15","cstz","cstz","CS_tz"
"16","CSx53eRNAi","CSx53eRNAi",";;UAS_PKC53eRNAi_27696/+"
"17","elavG4;tG80_CS","elavG4;tG80_CS","elavG4/+;tubGal80ts/+"
"18","elavG4;tG80_RNAi_Trip","elavG4;tG80_RNAi_Trip","elavG4/+;tubGal80ts/UAS_PKC53eRNAi_Trip"
"19","elavG4;tG80_RNAi_vienna","elavG4;tG80_RNAi_vienna","elavG4/+;tubGal80ts/+;UAS_PKC53eRNAi_vienna/+"
"20","foxp","foxp","foxp3955"
"21","FoxP_CS","FoxP_CS","UAS-dicer2/+;UAS-FoxpRNAi5020/+"
"22","FoxP_d42","FoxP_d42","UAS-dicer2/+;UAS-FoxpRNAi5020/+; d42-Gal4"
"23","FoxP_elav","FoxP_elav","UAS-dicer2/elav-Gal4;UAS-FoxpRNAi5020/+"
"24","Foxp36019","Foxp36019","foxp36019"
"25","mutant","mutant","Mi_PKCdelta"
"26","pinac","pinac","w-;Pbac_PKCina"
"27","PKC_7y_819","PKC_7y_819","tubGal80ts/+ ; UAS-PKCi/7y_Gal4,c819-Gal4"
"28","PKC_c232","PKC_c232","tubGal80ts/+ ; UAS-PKCi/c232-Gal4"
"29","PKC_c380","PKC_c380","c380Gal4/+; tubGal80ts/+ ; UAS-PKCi/+"
"30","PKC_CS","PKC_CS","tubGal80ts/+;UAS-PKCi/+"
"31","PKC_d42","PKC_d42","tubGal80ts/+ ; UAS-PKCi/d42-Gal4"
"32","PKC_d42-chG80","PKC_d42-chG80","UAS-GFP;tubGal80ts/+;UASPKCi/d42Gal4,chaGal80"
"33","PKC_d42GchaG","PKC_d42GchaG","tubGal80ts/+ ; UAS-PKCi/d42-Gal4, cha-Gal80"
"34","PKC_elav","PKC_elav","elav-Gal4/+;tubGal80ts/+;UAS-PKCi/+"
"35","PKC_G_c380cha","PKC_G_c380cha","UAS-GFP,C380-GAL4;tubGal80ts/+;UASPKCi/cha-Gal80"
"36","PKC_Gd42-chG80","PKC_Gd42-chG80","UAS-GFP;tubGal80ts/+;UASPKCi/d42Gal4,chaGal80"
"37","PKC_H24","PKC_H24","tubGal80ts/+ ; UAS-PKCi/+ __ H24-Gal4"
"38","PKC_OK371","PKC_OK371","tubGal80ts/+ ; UAS-PKCi/+;OK371/+"
"39","PKC-","PKC-","PKC53mutant (outcrossed)"
"40","pkc53","pkc53","Mi_PKC53"
"41","PKC53e-/-","PKC53e-/-","w-;PKC53e-(redeyed)"
"42","RnaiPKC_53e","RnaiPKC_53e","elavGal4/+;tubGal80ts/+;UAS_PKC53eRNAI_27696/+"
"43","RnaiPKC_Inac","RnaiPKC_Inac","elavGal4/+;tubGal80ts/+;UAS_PKCInacRNAI_2895/+"
"44","THG4","THG4",";UAS_TrpA/+;TH-Gal4/+;"
"45","TrpA_CS","TrpA_CS",";UAS_TrpA/+;"
"46","TrpA_tdc2","TrpA_tdc2",";tdc2-Gal4/UAS_TrpA;"
"47","wtb","wtb","Wtb"
"48","wtbxTNT","wtbxTNT","UAS-TNT/+"
