,X.1.,X.2.,X.3.
1,c232_105xTNT,C232c105 RL x TNT,c105-Gal4/+;;UAS-TNT/c232-Gal4_??
2,c232_105xwtb,C232c105 RL x Wtb,c105-Gal4/+;;+/c232-Gal4_??
3,control,WT RL (Wtb),Wtb
4,Control,WT RL (CS),CS
5,CS_c380,c380G4 RL x CS,c380-Gal4/+
6,CS_d42,d42G4 RL x CS,d42Gal4/+
7,CS_d42-chG80,"GFP; RL d42G4,chaG80 RL x CS","UAS-GFP;;d42Gal4,chaGal80/+"
8,CS_d42GchaG,"d42G4,chaG80 RL x CS","d42-Gal4, cha-Gal80/+"
9,CS_elav,elavG4 RL xCS,elav-Gal4/+
10,CS_G_c380cha,"GFP, RL c380G4;chaG80 RL x CS","UAS-GFP,C380-GAL4/+;;cha-Gal80/+"
11,CS_Gd42-chG80,"GFP; RL d42G4,chaG80 RL x CS","UAS-GFP;;d42Gal4,chaGal80/+"
12,CS_OK371,OK371 RL x CS,OK371/+
13,CS_RNAi_Trip,CS RL x 53eRi_T,UAS_PKC53eRNAi_Trip/+
14,CS_RNAi_vienna,CS RL x 53eRi_V,UAS_PKC53eRNAi_vienna/+
15,cstz,WT RL (Cstz),CS_tz
16,CSx53eRNAi,CS RL x 53eRi_V,;;UAS_PKC53eRNAi_27696/+
17,elavG4;tG80_CS,elavG4;tG80 RL x CS,elavG4/+;tubGal80ts/+
18,elavG4;tG80_RNAi_Trip,elavG4;tG80 RL x  53eRi_T,elavG4/+;tubGal80ts/UAS_PKC53eRNAi_Trip
19,elavG4;tG80_RNAi_vienna,elavG4;tG80 RL x  53eRi_V,elavG4/+;tubGal80ts/+;UAS_PKC53eRNAi_vienna/+
20,foxp,Foxp3955,foxp3955
21,FoxP_CS,CS RL x FoxPRi,UAS-dicer2/+;UAS-FoxpRNAi5020/+
22,FoxP_d42,d42G4 RL x FoxPRi,UAS-dicer2/+;UAS-FoxpRNAi5020/+; d42-Gal4
23,FoxP_elav,elavG4 RL x FoxPRi,UAS-dicer2/elav-Gal4;UAS-FoxpRNAi5020/+
24,Foxp36019,Foxp36019,foxp36019
25,mutant,PKCdelta-,Mi_PKCdelta
26,pinac,PKCinac-,w-;Pbac_PKCina
27,PKC_7y_819,7y;c819G4 RL x T_PKCi,"tubGal80ts/+ ; UAS-PKCi/7y_Gal4,c819-Gal4"
28,PKC_c232,c232G4 RL x T_PKCi,tubGal80ts/+ ; UAS-PKCi/c232-Gal4
29,PKC_c380,c380G4 RL x T_PKCi,c380Gal4/+; tubGal80ts/+ ; UAS-PKCi/+
30,PKC_CS,CS RL x T_PKCi,tubGal80ts/+;UAS-PKCi/+
31,PKC_d42,d42G4 RL x T_PKCi,tubGal80ts/+ ; UAS-PKCi/d42-Gal4
32,PKC_d42-chG80,"GFP; RL d42G4,chaG80 RL x T_PKCi","UAS-GFP;tubGal80ts/+;UASPKCi/d42Gal4,chaGal80"
33,PKC_d42GchaG,"d42G4,chaG80 RL x T_PKCi","tubGal80ts/+ ; UAS-PKCi/d42-Gal4, cha-Gal80"
34,PKC_elav,elavG4 RL x T_PKCi,elav-Gal4/+;tubGal80ts/+;UAS-PKCi/+
35,PKC_G_c380cha,"GFP, RL c380;chaG80 RL x T_PKCi","UAS-GFP,C380-GAL4;tubGal80ts/+;UASPKCi/cha-Gal80"
36,PKC_Gd42-chG80,"GFP; RL d42G4,chaG80 RL x T_PKCi","UAS-GFP;tubGal80ts/+;UASPKCi/d42Gal4,chaGal80"
37,PKC_H24,H24G4 RL x T_PKCi,tubGal80ts/+ ; UAS-PKCi/+ __ H24-Gal4
38,PKC_OK371,OK371G4 RL x T_PKCi,tubGal80ts/+ ; UAS-PKCi/+;OK371/+
39,PKC-,PKC53e-/-,PKC53mutant (outcrossed)
40,pkc53,PKC53e-/-,Mi_PKC53
41,PKC53e-/-,w-;PKC53e-/-,w-;PKC53e-(redeyed)
42,RnaiPKC_53e,elavG4;tG80 RL x  PKC53eRi_V,elavGal4/+;tubGal80ts/+;UAS_PKC53eRNAI_27696/+
43,RnaiPKC_Inac,elavG4;tG80 RL x  PKCInacRi,elavGal4/+;tubGal80ts/+;UAS_PKCInacRNAI_2895/+
44,THG4,THG4 RL x TrpA,;UAS_TrpA/+;TH-Gal4/+;
45,TrpA_CS,CS RL x TrpA,;UAS_TrpA/+;
46,TrpA_tdc2,tdc2G4 RL x TrpA,;tdc2-Gal4/UAS_TrpA;
47,wtb,WT RL (Wtb),Wtb
48,wtbxTNT,Wtb RL x TNT,UAS-TNT/+
